"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","902","Переход в «Конструктор»","tests","2026-04-14","passed","2026-04-14","TestConstructor","test_constructor","",""
"","3265","Переход в личный кабинет по клику на «Личный кабинет»","tests","2026-04-14","passed","2026-04-14","TestPersonalAccount","test_personal_account","",""
"","661","Открытие всплывающего окна с деталями ингредиента","tests","2026-04-14","passed","2026-04-14","TestConstructor","test_constructor","",""
"","4406","Выход из аккаунта","tests","2026-04-14","passed","2026-04-14","TestPersonalAccount","test_personal_account","",""
"","3358","Переход в раздел 'История заказов'","tests","2026-04-14","passed","2026-04-14","TestPersonalAccount","test_personal_account","",""
"","4333","Закрытие всплывающего окна кликом по крестику","tests","2026-04-14","passed","2026-04-14","TestConstructor","test_constructor","",""
"","11688","Увеличение счётчика 'Выполнено за всё время' при создании заказа","tests","2026-04-14","passed","2026-04-14","TestOrderFeed","test_order_feed","",""
"","515","Проверка перехода на страницу восстановления пароля по кнопке «Восстановить пароль»","tests","2026-04-14","passed","2026-04-14","TestPasswordRecovery","test_password_recovery","",""
"","2469","Увеличение каунтера ингредиента при добавлении в заказ","tests","2026-04-14","passed","2026-04-14","TestConstructor","test_constructor","",""
"","15034","Отображение заказов пользователя на странице «Лента заказов»","tests","2026-04-14","passed","2026-04-14","TestOrderFeed","test_order_feed","",""
"","1145","Проверка активации поля пароля при клике на кнопку показать/скрыть","tests","2026-04-14","passed","2026-04-14","TestPasswordRecovery","test_password_recovery","",""
"","1128","Проверка ввода почты и клика по кнопке «Восстановить»","tests","2026-04-14","passed","2026-04-14","TestPasswordRecovery","test_password_recovery","",""
"","22898","Появление номера заказа в разделе 'В работе'","tests","2026-04-14","broken","2026-04-14","TestOrderFeed","test_order_feed","",""
"","10288","Открытие всплывающего окна с деталями заказа","tests","2026-04-14","passed","2026-04-14","TestOrderFeed","test_order_feed","",""
"","8688","Оформление заказа авторизованным юзером","tests","2026-04-14","passed","2026-04-14","TestConstructor","test_constructor","",""
"","11830","Увеличение счётчика 'Выполнено за сегодня' при создании заказа","tests","2026-04-14","passed","2026-04-14","TestOrderFeed","test_order_feed","",""
"","1051","Переход в «Лента заказов»","tests","2026-04-14","passed","2026-04-14","TestConstructor","test_constructor","",""
